PartitionKey,RowKey,Category,Category_type,CategoryDescription,CategoryDescription_type,DefaultTeam,DefaultTeam_type,Organization,Organization_type,Service,Service_type,Type,Type_type
2017db8e-d8c8-4e94-8bde-30bf3121774b,959edbbf-49a4-44f4-84ad-f759ef4a66be,Ivanti Functionality Issues,String,Ivanti Functionality Issues,String,ITSM Support,String,ContosoInc,String,Ivanti,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,95b189f6-2f5c-4ae9-afcb-76261ac7fc34,Deactivate and/or Delete Customer Account (CCPA),String,CCPA process has not completed correctly,String,Digital Cloud Applications,String,ContosoInc,String,Customer -  dot.com,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,96f224a8-48de-40f1-8b84-96458d070303,Request ContosoCanada Associate Role Change,String,Request ContosoCanada Associate Role Change,String,ContosoCanada Store Support,String,ContosoCanada,String,ContosoCanada POS Role Change,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,97093b84-90f9-474c-b528-695767c27aaf,Request Access to BluJay TMS,String,Request Access to BluJay TMS,String,Solution Desk,String,ContosoInc,String,BluJay TMS,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,9728cd44-7d4e-4a47-a905-d0dc928e06de,Dot Com - Rewards not displaying,String,Issue related to a customers loyalty or rewards not showing up correctly,String,Digital - Triage,String,ContosoInc,String,Customer -  dot.com,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,977532f8-0a4a-469d-8a20-f54c2a1b8031,Office 365 - Sharepoint Issues,String,Office 365 - Sharepoint Issues,String,Solution Desk,String,ContosoInc,String,Microsoft Sharepoint,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,97971ce2-1f12-4d1b-898e-f2854df2266b,Issues with Jesta Merchandising,String,Submit a Jesta Vision Merchandising incident,String,ContosoCanada ERP Support,String,ContosoCanada,String,Jesta Merchandising,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,97ac1019-df26-4014-a872-4616e4ab9f3b,Issues with Arista EOS,String,Report issues with Arista EOS,String,Network,String,ContosoInc,String,Arista EOS,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,97e07629-a51d-4f23-bfe5-b6e71d7ecd8b,Report Issues with AWS,String,Report Issues with AWS,String,Store Technology,String,ContosoInc,String,AWS,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,9932dafd-d45a-44a7-9aeb-c696adae13cd,Whitelist - Application,String,Whitelist - Application,String,IT Security,String,ContosoInc,String,Whitelist,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,99a828e7-3a10-4d86-bac0-8c80cb744e8d,Vantiv iQ Password Reset,String,Password Reset,String,Digital Cloud Applications,String,ContosoInc,String,Vantiv iQ,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,99c57820-c162-4935-87ff-c2234a2b1089,Incorrect Product Display - Website,String,Product not displayed correctly on the Digital Website,String,Digital ATG,String,ContosoInc,String,Dot Com Product Issues,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,99d5b4d5-769e-4d99-a884-cd294ed28097,Request Access to NCR,String,Request Access to NCR,String,Solution Desk,String,ContosoInc,String,NCR,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,9a53a3d4-b9a5-42d0-8891-41d7b6901f8a,Load Balancer Down,String,Load Balancer Down,String,Network,String,ContosoInc,String,Network,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,9aac71e9-7e3c-4162-92d0-cb53605ae4cf,Request Access to Bamboo,String,Request Access to Bamboo,String,Solution Desk,String,ContosoInc,String,Bamboo,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,9aebf6e1-a883-42a8-8e45-0e36b5986944,Digital System Restarts for BCC,String,Request a BCC restart,String,IOC,String,ContosoInc,String,BCC,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,9b049c1b-96db-4e98-bd06-21755b582538,OMS COM - Release Not Shipped,String,OMS COM - Release Not Shipped,String,Digital OMS,String,ContosoInc,String,OMS COM,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,9bd379bf-4b0b-4ece-9ab0-c24138ba0d2b,Other dot com content issues,String,Other content issue on webstie,String,Digital ATG,String,ContosoInc,String,Digital Applications,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,9bfe5cc7-9af0-4a8d-baa1-37d8a2f65b89,ITBR Intake Form,String,ITBR Intake Form,String,ContosoCanada AppDev,String,ContosoCanada,String,ContosoCanada ELT Initiatives,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,9e185396-b070-4d09-a631-a0132c439188,Unable to Access ADO - Azure DevOps,String,"Unable to access Azure Dev Ops, ADO ",String,Solution Desk,String,ContosoInc,String,Azure DevOps,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,9e51788a-4700-46ee-b603-0b9a67ea7d3b,Network Print -Paper Jam,String,Paper Jam,String,Solution Desk,String,ContosoInc,String,Network Printer,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,9ea782d5-b5a7-4aa9-bbd0-378672174bf5,VIP - Customer Account Issue,String,Customer Account Issue with VIP,String,Digital Cloud Applications,String,"ContosoInc, Stores",String,VIP Rewards,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,9f16de85-0034-44c6-a111-6967d83c050b,Request Scan to Email - Need Access,String,User needs access to Scan to Email Front Door Link,String,Solution Desk,String,ContosoInc,String,Scan to Email,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,9f620e68-c75c-43f6-923b-8d789361aae8,Report Issues with NCR App,String,Report Issues with NCR App,String,Store Technology,String,Stores,String,NCR,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,9f62a16c-9bdb-43fa-a954-319ContosoCanada876c9b,Hardware for ContosoCanada,String,,,ContosoInc-Support - End User,String,ContosoInc,String,Automated - Onboarding,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,9feb74e1-0909-4300-a45f-d90aec179b6b,DB Canada -Request Characteristics Update,String,Request Style/Site Characteristics or Store Info Update,String,ContosoCanada ERP Support,String,ContosoCanada,String,DB Canada Characteristics Update,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,a0287977-3fe9-4bbd-a557-b3746d99986c,Request Access to OpsGenie,String,Request Access to OpsGenie,String,Solution Desk,String,ContosoInc,String,OpsGenie,Binary,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,a0f151b7-9018-4b56-bd8d-a5a6f22d2066,Report Issues with Phone Bot,String,Issues with Phone Bot,String,IAM Support,String,ContosoInc,String,SailPoint,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,a12a8f2d-f2c9-4824-bfec-09943d31d327,Office 365 - Teams Issues,String,Office 365 - Teams Issues,String,Solution Desk,String,ContosoInc,String,Microsoft Teams,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,a2644083-216d-42cd-a62f-56ed8bcbbdfb,Other Database Access,String,Other Database Access,String,Database,Binary,ContosoInc,String,Database,Binary,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,a30418ed-4c82-4e9c-bf29-0ebda25fe49b,Request Front Door Access to Meraki Dashboard,String,Request Front Door Access to Meraki Dashboard,String,Solution Desk,String,ContosoInc,String,Meraki Dashboard,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,a447ae02-5d34-481d-8a82-46205ba23047,WM -Receipts Not Posting in Jesta,String,WM -Receipts Not Posting in Jesta,String,DC Support,String,ContosoInc,String,Warehouse Management,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,a488ea9b-478c-4b39-abaa-930d27469876,Observability Assistance,String,"Request assistance instrumenting monitoring, creating Grafana Dashboards, or defining alerts",String,Platform Reliability Eng,String,ContosoInc,String,Digital Applications,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,a4966449-cbaf-4f78-87c8-376a51f239b8,Apigee New proxy,String,Request new Apigee Proxy,String,Platform Reliability Eng,String,ContosoInc,String,Apigee,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,a5068f2c-565a-4c68-8d12-ce27c0570018,Windows Issues - Not Full Work Stoppage,String,Report any issues with your WIndows PC that are not causing full work stopage,String,Solution Desk,String,ContosoInc,String,Computer - Windows,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,a550a05b-3f2f-4e8c-bff9-3e25ff3feeb3,Office 365 - Application Error,String,Office 365 - Application Error,String,Solution Desk,String,ContosoInc,String,Office 365,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,a5b6faaa-e78a-49d8-b5ef-7a13a94b763f,Request Access F5 BigIP Viprion,String,Request Access F5 BigIP Viprion,String,Network,String,ContosoInc,String,F5 BigIP Viprion,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,a701901e-6905-4c2a-91f4-71141a5abbe0,EPM - User Access to ContosoIncWFP,String,Oracle Cloud EPM Planning Workforce Planning,String,EPM Admin,String,ContosoInc,String,Oracle EPM,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,a76dcd09-3dbf-4bb7-99b2-ef7af6f24c97,Processing digital and manual returns,String,Processing digital and manual returns,String,NJDC Support,String,ContosoInc,String,Highjump,Binary,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,a800fb8e-0b45-47f4-8215-6f975896fbdc,Unable to process credit transaction,String,Unable to process credit transaction online,String,Solution Desk,String,ContosoInc,String,Processing Online Credit,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,a88937be-4fac-4f5d-87a3-18a7ca765929,Report Issues with Crowdstrike,String,Report Issues with Crowdstrike,String,IT Security,String,ContosoInc,String,Crowd Strike,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,a8a97d6d-d016-4914-854b-50b304ed9862,Request Access to Shelf,String,Request Access to Shelf,String,Solution Desk,String,ContosoInc,String,Shelf,String,Request,String
